Date,Views Per Day,Total Views
0,536.8474358974358,398536.84743589745
1,546.2184885290148,399083.0659244265
2,555.5895411605937,399638.6554655871
3,564.9605937921727,400203.61605937924
4,574.3316464237516,400777.947705803
5,583.7026990553306,401361.6504048583
6,593.0737516869095,401954.7241565452
7,602.4448043184885,402557.16896086367
8,611.8158569500674,403168.98481781373
9,621.1869095816464,403790.1717273954
10,630.5579622132253,404420.7296896086
11,639.9290148448043,405060.65870445344
12,649.3000674763832,405709.95877192984
13,658.6711201079622,406368.62989203783
14,668.0421727395411,407036.67206477735
15,677.4132253711201,407714.08529014845
16,686.784278002699,408400.86956815113
17,696.155330634278,409097.0248987854
18,705.5263832658569,409802.55128205125
19,714.8974358974359,410517.4487179487
20,724.2684885290148,411241.7172064777
21,733.6395411605938,411975.3567476383
22,743.0105937921727,412718.3673414305
23,752.3816464237517,413470.7489878543
24,761.7526990553306,414232.5016869096
25,771.1237516869096,415003.6254385965
26,780.4948043184886,415784.12024291494
27,789.8658569500675,416573.986099865
28,799.2369095816464,417373.22300944664
29,808.6079622132254,418181.83097165986
30,817.9790148448044,418999.80998650467
31,827.3500674763833,419827.16005398106
32,836.7211201079622,420663.88117408904
33,846.0921727395412,421509.9733468286
34,855.4632253711202,422365.43657219975
35,864.8342780026991,423230.2708502024
36,874.205330634278,424104.4761808367
37,883.576383265857,424988.0525641025
38,892.947435897436,425880.99999999994
39,902.3184885290149,426783.31848852895
40,911.6895411605938,427695.00802968955
41,921.0605937921728,428616.0686234817
42,930.4316464237518,429546.5002699055
43,939.8026990553307,430486.30296896084
44,949.1737516869096,431435.47672064777
45,958.5448043184886,432394.0215249663
46,967.9158569500676,433361.93738191633
47,977.2869095816465,434339.22429149796
48,986.6579622132255,435325.88225371117
49,996.0290148448044,436321.91126855597
50,1005.4000674763834,437327.31133603235
51,1014.7711201079624,438342.0824561403
52,1024.1421727395414,439366.22462887986
53,1033.5132253711201,440399.737854251
54,1042.8842780026991,441442.6221322537
55,1052.255330634278,442494.877462888
56,1061.626383265857,443556.50384615385
57,1070.997435897436,444627.50128205126
58,1080.368488529015,445707.86977058026
59,1089.739541160594,446797.60931174085
60,1099.110593792173,447896.719905533
61,1108.4816464237517,449005.20155195676
62,1117.8526990553307,450123.0542510121
63,1127.2237516869095,451250.278002699
64,1136.5948043184885,452386.8728070175
65,1145.9658569500675,453532.8386639676
66,1155.3369095816465,454688.1755735493
67,1164.7079622132255,455852.8835357625
68,1174.0790148448045,457026.9625506073
69,1183.4500674763835,458210.41261808365
70,1192.8211201079623,459403.2337381916
71,1202.1921727395413,460605.42591093114
72,1211.56322537112,461816.98913630226
73,1220.934278002699,463037.92341430497
74,1230.305330634278,464268.22874493926
75,1239.676383265857,465507.90512820514
76,1249.0474358974361,466756.9525641026
77,1258.4184885290151,468015.3710526316
78,1267.789541160594,469283.16059379216
79,1277.160593792173,470560.3211875843
80,1286.5316464237517,471846.85283400805
81,1295.9026990553307,473142.7555330634
82,1305.2737516869097,474448.0292847503
83,1314.6448043184887,475762.6740890688
84,1324.0158569500677,477086.68994601886
85,1333.3869095816467,478420.0768556005
86,1342.7579622132255,479762.83481781377
87,1352.1290148448045,481114.9638326586
88,1361.5000674763833,482476.46390013496
89,1370.8711201079623,483847.3350202429
90,1380.2421727395413,485227.5771929824
91,1389.6132253711203,486617.19041835354
92,1398.9842780026993,488016.17469635623
93,1408.3553306342783,489424.5300269905
94,1417.726383265857,490842.2564102564
95,1427.097435897436,492269.3538461538
96,1436.468488529015,493705.82233468286
97,1445.8395411605939,495151.6618758435
98,1455.2105937921729,496606.8724696356
99,1464.5816464237519,498071.45411605935
100,1473.9526990553309,499545.40681511466
101,1483.3237516869099,501028.73056680156
102,1492.6948043184889,502521.42537112004
103,1502.0658569500677,504023.4912280701
104,1511.4369095816467,505534.92813765176
105,1520.8079622132254,507055.736099865
106,1530.1790148448044,508585.9151147098
107,1539.5500674763834,510125.4651821862
108,1548.9211201079625,511674.3863022942
109,1558.2921727395415,513232.6784750337
110,1567.6632253711202,514800.3417004048
111,1577.0342780026992,516377.3759784075
112,1586.4053306342782,517963.7813090418
113,1595.7763832658572,519559.55769230763
114,1605.147435897436,521164.70512820507
115,1614.518488529015,522779.2236167341
116,1623.889541160594,524403.1131578947
117,1633.260593792173,526036.3737516869
118,1642.6316464237518,527679.0053981106
119,1652.0026990553308,529331.008097166
120,1661.3737516869098,530992.3818488528
121,1670.7448043184888,532663.1266531714
122,1680.1158569500676,534343.2425101214
123,1689.4869095816466,536032.7294197031
124,1698.8579622132256,537731.5873819164
125,1708.2290148448046,539439.8163967611
126,1717.6000674763834,541157.4164642375
127,1726.9711201079624,542884.3875843454
128,1736.3421727395414,544620.729757085
129,1745.7132253711204,546366.4429824561
130,1755.0842780026994,548121.5272604588
131,1764.4553306342782,549885.982591093
132,1773.8263832658572,551659.808974359
133,1783.1974358974362,553443.0064102564
134,1792.5684885290152,555235.5748987854
135,1801.939541160594,557037.514439946
136,1811.310593792173,558848.8250337382
137,1820.681646423752,560669.5066801619
138,1830.052699055331,562499.5593792172
139,1839.4237516869098,564338.9831309041
140,1848.7948043184888,566187.7779352226
141,1858.1658569500678,568045.9437921727
142,1867.5369095816468,569913.4807017543
143,1876.9079622132256,571790.3886639676
144,1886.2790148448046,573676.6676788124
145,1895.6500674763836,575572.3177462888
146,1905.0211201079626,577477.3388663968
147,1914.3921727395414,579391.7310391363
148,1923.7632253711204,581315.4942645074
149,1933.1342780026994,583248.6285425101
150,1942.5053306342784,585191.1338731444
151,1951.8763832658572,587143.0102564102
152,1961.2474358974362,589104.2576923077
153,1970.6184885290152,591074.8761808367
154,1979.9895411605942,593054.8657219973
155,1989.360593792173,595044.2263157895
156,1998.731646423752,597042.9579622133
157,2008.102699055331,599051.0606612687
158,2017.47375168691,601068.5344129555
159,2026.8448043184887,603095.379217274
160,2036.2158569500677,605131.595074224
161,2045.5869095816468,607177.1819838057
162,2054.957962213226,609232.1399460189
163,2064.329014844805,611296.4689608638
164,2073.7000674763835,613370.1690283401
165,2083.0711201079625,615453.2401484482
166,2092.4421727395415,617545.6823211877
167,2101.8132253711206,619647.4955465588
168,2111.184278002699,621758.6798245615
169,2120.555330634278,623879.2351551957
170,2129.926383265857,626009.1615384616
171,2139.297435897436,628148.458974359
172,2148.668488529015,630297.127462888
173,2158.039541160594,632455.1670040486
174,2167.410593792173,634622.5775978408
175,2176.781646423752,636799.3592442645
176,2186.152699055331,638985.5119433199
177,2195.52375168691,641181.0356950068
178,2204.894804318489,643385.9304993253
179,2214.265856950068,645600.1963562754
180,2223.6369095816467,647823.833265857
181,2233.0079622132257,650056.8412280702
182,2242.3790148448047,652299.220242915
183,2251.7500674763837,654550.9703103914
184,2261.1211201079623,656812.0914304993
185,2270.4921727395413,659082.5836032389
186,2279.8632253711203,661362.44682861
187,2289.2342780026993,663651.6811066128
188,2298.6053306342783,665950.2864372471
189,2307.9763832658573,668258.2628205129
190,2317.3474358974363,670575.6102564103
191,2326.7184885290153,672902.3287449393
192,2336.0895411605943,675238.4182860999
193,2345.4605937921733,677583.878879892
194,2354.8316464237523,679938.7105263158
195,2364.2026990553313,682302.9132253712
196,2373.5737516869103,684676.4869770581
197,2382.944804318489,687059.4317813766
198,2392.315856950068,689451.7476383267
199,2401.686909581647,691853.4345479084
200,2411.057962213226,694264.4925101215
201,2420.4290148448044,696684.9215249664
202,2429.8000674763834,699114.7215924427
203,2439.1711201079625,701553.8927125507
204,2448.5421727395415,704002.4348852902
205,2457.9132253711205,706460.3481106614
206,2467.2842780026995,708927.6323886641
207,2476.6553306342785,711404.2877192984
208,2486.0263832658575,713890.3141025642
209,2495.3974358974365,716385.7115384616
210,2504.7684885290155,718890.4800269906
211,2514.1395411605945,721404.6195681512
212,2523.5105937921735,723928.1301619434
213,2532.881646423752,726461.0118083671
214,2542.252699055331,729003.2645074225
215,2551.62375168691,731554.8882591093
216,2560.994804318489,734115.8830634279
217,2570.3658569500676,736686.2489203779
218,2579.7369095816466,739265.9858299596
219,2589.1079622132256,741855.0937921728
220,2598.4790148448046,744453.5728070176
221,2607.8500674763836,747061.422874494
222,2617.2211201079626,749678.6439946019
223,2626.5921727395416,752305.2361673415
224,2635.9632253711206,754941.1993927126
225,2645.3342780026996,757586.5336707153
226,2654.7053306342787,760241.2390013495
227,2664.0763832658577,762905.3153846154
228,2673.447435897436,765578.7628205129
229,2682.818488529015,768261.5813090419
230,2692.189541160594,770953.7708502025
231,2701.560593792173,773655.3314439947
232,2710.931646423752,776366.2630904184
233,2720.3026990553312,779086.5657894737
234,2729.6737516869102,781816.2395411606
235,2739.0448043184892,784555.2843454791
236,2748.415856950068,787303.7002024292
237,2757.786909581647,790061.4871120108
238,2767.157962213226,792828.6450742241
239,2776.529014844805,795605.1740890689
240,2785.900067476384,798391.0741565453
241,2795.271120107963,801186.3452766533
242,2804.642172739542,803990.9874493928
243,2814.013225371121,806805.0006747639
