Date,Subs Per Day,Total Subs
0,3.1076923076923038,5462.107692307693
1,3.4299595141700365,5465.537651821863
2,3.7522267206477697,5469.28987854251
3,4.074493927125502,5473.364372469636
4,4.396761133603236,5477.761133603239
5,4.7190283400809685,5482.48016194332
6,5.041295546558701,5487.521457489879
7,5.363562753036435,5492.885020242916
8,5.685829959514168,5498.57085020243
9,6.0080971659919005,5504.578947368422
10,6.330364372469633,5510.909311740891
11,6.652631578947366,5517.561943319838
12,6.974898785425099,5524.5368421052635
13,7.2971659919028315,5531.834008097167
14,7.619433198380565,5539.453441295547
15,7.941700404858298,5547.3951417004055
16,8.263967611336032,5555.659109311741
17,8.586234817813764,5564.245344129555
18,8.908502024291497,5573.153846153847
19,9.23076923076923,5582.384615384616
20,9.553036437246963,5591.937651821863
21,9.875303643724695,5601.812955465588
22,10.197570850202428,5612.01052631579
23,10.519838056680161,5622.53036437247
24,10.842105263157894,5633.372469635628
25,11.164372469635627,5644.5368421052635
26,11.48663967611336,5656.023481781377
27,11.808906882591094,5667.832388663968
28,12.131174089068827,5679.963562753037
29,12.45344129554656,5692.417004048583
30,12.775708502024292,5705.192712550607
31,13.097975708502025,5718.29068825911
32,13.420242914979758,5731.71093117409
33,13.74251012145749,5745.453441295547
34,14.064777327935223,5759.518218623482
35,14.387044534412956,5773.905263157895
36,14.709311740890689,5788.614574898786
37,15.031578947368422,5803.646153846154
38,15.353846153846156,5819.000000000001
39,15.676113360323889,5834.676113360325
40,15.998380566801622,5850.674493927127
41,16.320647773279354,5866.995141700406
42,16.642914979757087,5883.638056680163
43,16.96518218623482,5900.603238866397
44,17.287449392712553,5917.89068825911
45,17.609716599190286,5935.5004048583005
46,17.93198380566802,5953.432388663969
47,18.25425101214575,5971.686639676114
48,18.576518218623484,5990.263157894738
49,18.898785425101217,6009.161943319838
50,19.22105263157895,6028.382995951418
51,19.543319838056682,6047.926315789475
52,19.865587044534415,6067.791902834009
53,20.187854251012148,6087.979757085021
54,20.510121457489884,6108.489878542511
55,20.832388663967617,6129.3222672064785
56,21.15465587044535,6150.476923076923
57,21.476923076923082,6171.953846153847
58,21.799190283400815,6193.753036437248
59,22.121457489878548,6215.874493927126
60,22.44372469635628,6238.318218623483
61,22.765991902834013,6261.084210526316
62,23.088259109311746,6284.172469635628
63,23.41052631578948,6307.582995951418
64,23.73279352226721,6331.315789473685
65,24.055060728744944,6355.37085020243
66,24.377327935222677,6379.748178137653
67,24.69959514170041,6404.447773279353
68,25.021862348178143,6429.469635627531
69,25.344129554655876,6454.813765182187
70,25.66639676113361,6480.480161943321
71,25.98866396761134,6506.4688259109325
72,26.310931174089074,6532.779757085022
73,26.633198380566807,6559.412955465588
74,26.95546558704454,6586.368421052633
75,27.277732793522276,6613.646153846154
76,27.60000000000001,6641.246153846155
77,27.92226720647774,6669.168421052633
78,28.244534412955474,6697.412955465588
79,28.566801619433207,6725.979757085021
80,28.88906882591094,6754.868825910932
81,29.211336032388672,6784.0801619433205
82,29.533603238866405,6813.613765182187
83,29.855870445344138,6843.469635627532
84,30.17813765182187,6873.647773279354
85,30.500404858299603,6904.148178137653
86,30.822672064777336,6934.9708502024305
87,31.14493927125507,6966.115789473685
88,31.4672064777328,6997.582995951418
89,31.789473684210535,7029.3724696356285
90,32.11174089068827,7061.484210526317
91,32.434008097166,7093.918218623483
92,32.75627530364373,7126.674493927127
93,33.078542510121466,7159.753036437248
94,33.4008097165992,7193.153846153847
95,33.72307692307693,7226.876923076924
96,34.045344129554664,7260.922267206479
97,34.3676113360324,7295.289878542511
98,34.68987854251013,7329.979757085021
99,35.01214574898786,7364.991902834009
100,35.334412955465595,7400.326315789474
101,35.65668016194333,7435.982995951418
102,35.97894736842106,7471.9619433198395
103,36.30121457489879,7508.2631578947385
104,36.623481781376526,7544.886639676115
105,36.94574898785426,7581.832388663969
106,37.26801619433199,7619.100404858301
107,37.59028340080973,7656.69068825911
108,37.912550607287464,7694.603238866398
109,38.2348178137652,7732.838056680163
110,38.55708502024293,7771.395141700406
111,38.87935222672066,7810.274493927127
112,39.201619433198395,7849.476113360325
113,39.52388663967613,7889.000000000001
114,39.84615384615386,7928.846153846155
115,40.168421052631594,7969.014574898787
116,40.49068825910933,8009.5052631578965
117,40.81295546558706,8050.3182186234835
118,41.13522267206479,8091.453441295548
119,41.457489878542525,8132.91093117409
120,41.77975708502026,8174.69068825911
121,42.10202429149799,8216.792712550608
122,42.42429149797572,8259.217004048583
123,42.746558704453456,8301.963562753037
124,43.06882591093119,8345.032388663969
125,43.39109311740892,8388.423481781378
126,43.713360323886654,8432.136842105265
127,44.03562753036439,8476.172469635629
128,44.35789473684212,8520.530364372471
129,44.68016194331985,8565.21052631579
130,45.002429149797585,8610.212955465588
131,45.32469635627532,8655.537651821864
132,45.64696356275305,8701.184615384616
133,45.96923076923078,8747.153846153848
134,46.291497975708516,8793.445344129555
135,46.61376518218625,8840.059109311742
136,46.93603238866398,8886.995141700405
137,47.258299595141715,8934.253441295547
138,47.58056680161945,8981.834008097167
139,47.90283400809718,9029.736842105263
140,48.22510121457491,9077.961943319839
141,48.547368421052646,9126.50931174089
142,48.86963562753038,9175.378947368421
143,49.19190283400811,9224.57085020243
144,49.514170040485844,9274.085020242916
145,49.83643724696358,9323.92145748988
146,50.15870445344131,9374.08016194332
147,50.48097165991904,9424.56113360324
148,50.803238866396775,9475.364372469636
149,51.12550607287451,9526.48987854251
150,51.44777327935225,9577.937651821863
151,51.77004048582998,9629.707692307693
152,52.09230769230771,9681.800000000001
